,Total_Short_Term_Deposit,deceased,Total_Subscribers,Active_Customers,New Monthly Subscribers,Unsubscribed,Loyal Customer,New Customer,Regular Customer,Entry_Channel_KAT,Entry_Channel_KFC,Entry_Channel_KHE,Entry_Channel_KHK,Entry_Channel_KHQ,Entry_Channel_Others,Entry_Channel_Unknown,02 - PARTICULARES,03 - UNIVERSITARIO,Unknown Segment,01 - TOP,region_11,region_15,region_28,region_30,region_41,region_46,region_8,region_Others,female,age_group_Senior,age_group_Middle-Aged,age_group_Adult,age_group_Young Adult
2018-01-28,883,47,239446,108211,2590,0,84767,0,154726,20926,40170,160717,5236,0,12426,18,65722,169792,28,3951,7224,11532,39396,13182,12957,13970,22128,31157,125478,5109,22411,106996,104977
2018-02-28,1343,0,242474,111048,2720,47,84708,0,157766,20989,40126,160686,7263,0,13395,15,68176,170061,26,4211,7292,11577,40356,13275,13090,14136,22358,31548,126768,5253,23189,108841,105191
2018-03-28,1664,0,245211,113769,2143,0,84658,0,160553,21052,40114,160563,8865,1,14601,15,70412,170258,23,4518,7373,11604,41264,13334,13208,14273,22603,31889,127921,5428,23969,110455,105359
2018-04-28,1740,0,247417,116281,2090,0,84577,0,162840,21050,40095,160447,10221,1,15591,12,72208,170393,9,4807,7420,11648,42060,13377,13315,14393,22744,32171,128877,5584,24585,111760,105488
2018-05-28,1455,1,249879,119029,2214,0,84554,0,165326,21093,40103,160330,11203,1,17139,11,74202,170548,8,5122,7476,11685,42908,13448,13414,14547,22928,32493,129912,5767,25252,113222,105639
2018-06-28,1244,0,252059,121524,1925,1,84514,1872,165673,21092,40086,160223,11281,1,19368,8,76078,170667,0,5314,7517,11707,43712,13494,13501,14672,23115,32719,130839,5937,25830,114487,105805
2018-07-28,1282,7,339284,129250,14091,0,103583,19950,215758,26307,59202,196631,16072,1,24298,16780,108142,208932,16850,5367,9097,14169,68897,16178,16535,19002,37379,44486,174518,8335,35831,148208,146917
2018-08-28,1335,5,352865,136319,16973,961,103462,34067,215341,26272,59155,196377,15991,12844,27783,14448,112628,220172,14507,5563,9311,15008,70128,16725,16726,21147,39189,46614,181880,8633,36989,152763,154485
2018-09-28,1386,10,375259,144753,21416,920,103382,56827,215060,26304,59117,196164,15941,23234,31273,23236,116506,229673,23338,5752,9764,16272,75331,17841,17668,23419,40194,49138,193878,8988,38429,159594,168258
2018-10-28,1374,6,402232,151922,28462,1224,103263,84317,214658,26323,59091,195827,15915,41312,35630,28140,120663,247333,28183,6059,10409,16933,83671,19171,18964,24744,41649,52036,208876,9478,39878,168318,184564
2018-11-28,1018,6,416316,156277,16349,1455,103163,98847,214312,26349,59030,195570,15906,63774,40197,15496,124229,270159,15591,6343,10776,17275,86911,20411,19483,25410,42527,54487,216447,9781,41310,174887,190344
2018-12-28,528,4,422407,159193,7546,1301,103076,105300,214035,26388,58998,195391,16013,73295,44931,7395,127551,280923,7443,6494,10940,17371,88599,20734,19731,25791,43043,55339,219257,10107,42591,179446,190267
2019-01-28,125,6,426802,162508,7348,2496,103001,110336,213471,26407,59017,195301,15973,75405,47757,6948,129019,284148,7040,6601,11060,17467,89900,20879,19976,26044,43330,55948,220976,10465,43950,186093,186300
2019-02-28,11,12,431647,165029,5462,1373,102900,115566,213193,26382,58998,195125,15999,75240,53741,6174,134491,284178,6291,6699,11144,17557,91373,21011,20179,26310,43771,56646,222909,10763,45450,192291,183155
2019-03-28,2,10,436099,168142,5737,1272,102811,120373,212925,26345,58977,194967,16054,75136,59344,5286,139621,284270,5367,6851,11265,17639,92619,21151,20397,26538,44125,57322,224819,11071,46908,199443,178687
2019-04-28,2,6,439543,169954,5037,1186,102716,124121,212712,26291,58954,194843,16084,75065,63770,4542,143582,284375,4624,6968,11357,17681,93672,21243,20543,26741,44433,57775,226189,11371,48075,205531,174572
2019-05-28,2,9,442909,171521,4125,1219,102651,127751,212516,26251,58936,194724,16148,74967,67383,4509,146901,284232,4616,7169,11445,17747,94641,21363,20708,26954,44759,58185,227658,11610,49394,211450,170464
