,deceased,Total_Subscribers,Active_Customers,New Monthly Subscribers,Unsubscribed,Loyal Customer,New Customer,Regular Customer,Entry_Channel_KAT,Entry_Channel_KFC,Entry_Channel_KHE,Entry_Channel_KHK,Entry_Channel_KHQ,Entry_Channel_Others,Entry_Channel_Unknown,02 - PARTICULARES,03 - UNIVERSITARIO,Unknown Segment,01 - TOP,region_11,region_15,region_28,region_30,region_41,region_46,region_8,region_Others,female,age_group_Senior,age_group_Middle-Aged,age_group_Adult,age_group_Young Adult,medium_salary,Unknown_salary,high_salary,low_salary,Total_Short_Term_Deposit,loans,mortgages,funds,securities,credit_card,debit_card,long_term_deposit,payroll,pension,payroll_pension_unknown,payroll_account,em_account,em_account_p,emc_account
2018-01-28,47,239446,108211,2590,0,84767,0,154726,20926,40170,160717,5236,0,12426,18,65722,169792,28,3951,7224,11532,39396,13182,12957,13970,22128,31157,125478,5109,22411,106996,104977,192218,43494,2335,1446,883,19,15,786,932,3325,24696,4884,8145,8835,17,13478,215293,2,15320
2018-02-28,0,242474,111048,2720,47,84708,0,157766,20989,40126,160686,7263,0,13395,15,68176,170061,26,4211,7292,11577,40356,13275,13090,14136,22358,31548,126768,5253,23189,108841,105191,194633,44031,2354,1456,1343,19,15,871,962,3278,25438,4946,8888,9492,14,14236,217066,2,15813
2018-03-28,0,245211,113769,2143,0,84658,0,160553,21052,40114,160563,8865,1,14601,15,70412,170258,23,4518,7373,11604,41264,13334,13208,14273,22603,31889,127921,5428,23969,110455,105359,196869,44473,2389,1480,1664,23,17,968,962,3510,27036,4957,9733,9879,10,14979,218652,2,16412
2018-04-28,0,247417,116281,2090,0,84577,0,162840,21050,40095,160447,10221,1,15591,12,72208,170393,9,4807,7420,11648,42060,13377,13315,14393,22744,32171,128877,5584,24585,111760,105488,198657,44857,2413,1490,1740,24,17,1083,980,3724,27754,5099,9903,10555,10,15815,219787,2,16932
2018-05-28,1,249879,119029,2214,0,84554,0,165326,21093,40103,160330,11203,1,17139,11,74202,170548,8,5122,7476,11685,42908,13448,13414,14547,22928,32493,129912,5767,25252,113222,105639,200693,45247,2436,1504,1455,27,18,1144,1009,3797,27901,5348,9993,10145,10,16689,221261,2,17553
2018-06-28,0,252059,121524,1925,1,84514,1872,165673,21092,40086,160223,11281,1,19368,8,76078,170667,0,5314,7517,11707,43712,13494,13501,14672,23115,32719,130839,5937,25830,114487,105805,202505,45575,2463,1516,1244,27,19,1158,1016,4002,28821,5580,10945,11632,0,15534,224297,2,17933
2018-07-28,7,339284,129250,14091,0,103583,19950,215758,26307,59202,196631,16072,1,24298,16780,108142,208932,16850,5367,9097,14169,68897,16178,16535,19002,37379,44486,174518,8335,35831,148208,146917,271860,61660,3784,1987,1282,28,20,1171,1050,4137,29569,5788,11888,12777,0,16913,234294,2,18171
2018-08-28,5,352865,136319,16973,961,103462,34067,215341,26272,59155,196377,15991,12844,27783,14448,112628,220172,14507,5563,9311,15008,70128,16725,16726,21147,39189,46614,181880,8633,36989,152763,154485,283118,63753,3896,2103,1335,29,20,1218,1130,4206,29198,5916,11383,12124,0,18114,245955,2,18322
2018-09-28,10,375259,144753,21416,920,103382,56827,215060,26304,59117,196164,15941,23234,31273,23236,116506,229673,23338,5752,9764,16272,75331,17841,17668,23419,40194,49138,193878,8988,38429,159594,168258,293234,75869,4007,2159,1386,31,20,1236,1198,4289,31677,6149,11850,12622,0,18856,261185,2,18606
2018-10-28,6,402232,151922,28462,1224,103263,84317,214658,26323,59091,195827,15915,41312,35630,28140,120663,247333,28183,6059,10409,16933,83671,19171,18964,24744,41649,52036,208876,9478,39878,168318,184564,292903,103176,4002,2157,1374,33,19,1248,1345,4385,34363,6369,12453,13220,0,19935,277680,2,18828
